week,political_leaning,Anger_Score,Disgust_Score,Fear_Score,Joy_Score,Neutral_Score,Sadness_Score,Surprise_Score
2024-04-02,Conservative,0.12742657138184466,0.13992459049942005,0.0596805447079895,0.019935571328900763,0.540247534812719,0.040933956104406415,0.07185123289529446
2024-04-09,Conservative,0.13693916223755756,0.13157817473931405,0.05978167607681821,0.023126788701266363,0.5384473357029114,0.03702906716748003,0.07309779661235867
2024-04-16,Conservative,0.13205437492485145,0.14770222844313732,0.06324284103709214,0.024382693211309665,0.5353072294314715,0.04088913177270186,0.05642150236279558
2024-04-23,Conservative,0.12551104541775324,0.14071737855236427,0.07424274910072529,0.022297314719262808,0.5452114586268566,0.03708010875188414,0.05493993919659084
2024-04-30,Conservative,0.10762868359625205,0.0940736164820839,0.08394587726721539,0.029621309370315606,0.5705730095145947,0.027792995107127984,0.0863645027388897
2024-05-07,Conservative,0.11737431929267324,0.1020398735590649,0.059052624506341814,0.019096576391729205,0.6123635618565092,0.02914841473672181,0.060924626185326576
2024-05-14,Conservative,0.10346743626268724,0.12352383947480347,0.05627165211933764,0.022664037110775453,0.5989746474128749,0.02569168110171121,0.06940670268820771
2024-05-21,Conservative,0.12814473442841096,0.13386147609840746,0.050813884224875656,0.037505493999121606,0.5540301657185472,0.031232040000705487,0.06441220641824334
2024-05-28,Conservative,0.10655583269641526,0.12169473426334032,0.07000978213388681,0.021223257350880514,0.5900239685921487,0.03207284761798938,0.058419574973537676
2024-06-04,Conservative,0.11152686849658117,0.10570139099320673,0.06195359328959076,0.018159673468499674,0.5969981097628195,0.034681563372708786,0.07097879996152369
2024-06-11,Conservative,0.09733457072859275,0.11915508682705864,0.11600123157898781,0.021692227925598054,0.5497225346652292,0.027850583948466952,0.06824376401433828
2024-06-18,Conservative,0.11005073735572306,0.16671503044191938,0.06616561141358905,0.030891256004602644,0.5295317278213408,0.03280229300518627,0.06384334689973817
2024-06-25,Conservative,0.10866775661559092,0.1491847641187998,0.13949157423265865,0.015438637975079732,0.4830972883294746,0.04201508557581629,0.06210488928284826
2024-07-02,Conservative,0.11875245004133846,0.14688963655708834,0.07051269039475672,0.025144359707465036,0.5429722789291547,0.027352850872797593,0.06837573554546846
2024-07-09,Conservative,0.1309600562020278,0.10961446990420573,0.08685863186709566,0.01394817744137873,0.5503311841502604,0.03356484020399131,0.07472264086049081
2024-07-16,Conservative,0.11449508952798057,0.1315308409431318,0.048064256108069234,0.08065510997129349,0.5230469004077691,0.030073186586065146,0.07213461235345847
2024-07-23,Conservative,0.1002786327001267,0.11703359755478929,0.08904009326810038,0.012408274544701173,0.5954611226665222,0.025889701970846776,0.05988857564664733
2024-07-30,Conservative,0.15658341918478377,0.15762845691530783,0.08512441803967309,0.019255610488871307,0.5002038580060688,0.025631371177451453,0.055572862230122276
2024-08-06,Conservative,0.13714853119567919,0.11037612524994136,0.09342202809678313,0.041489970952126136,0.5190601163954054,0.03471604194783135,0.06378718664395483
2024-08-13,Conservative,0.11953318159927731,0.16399503534327378,0.08971888504727768,0.01497931609556513,0.4820571852468473,0.052420695106150494,0.07729570397989197
2024-08-20,Conservative,0.11765797532810436,0.13003130876080685,0.07079242479318193,0.017298144998179076,0.5454319792982016,0.034392038406976196,0.08439613074500664
2024-08-27,Conservative,0.13881219992837074,0.12668059855243533,0.07638550141135401,0.013479155388609335,0.5209237986018548,0.04425717047649516,0.07946158028535609
2024-09-03,Conservative,0.11287260213188473,0.14837032807683526,0.05294028094461627,0.02179429648567356,0.5453008608260137,0.03310352596653937,0.08561810493318725
2024-09-10,Conservative,0.12459074781821676,0.16147374124452563,0.0543507726261724,0.018413938524885803,0.5237911525201298,0.030115192270698025,0.08726445295624553
2024-09-17,Conservative,0.16217243498904704,0.15045357234757864,0.06906651505486959,0.019673540464445326,0.4829669446858249,0.03235969264250876,0.08330729599047237
2024-09-24,Conservative,0.11549134909805561,0.13535550288101816,0.056751788931589886,0.018977647611608226,0.5633711680786894,0.032557147378124034,0.07749539932860397
2024-10-01,Conservative,0.1377728150937352,0.12743166668004202,0.04205161422093743,0.014923048619060568,0.5702668303805477,0.03365590015421363,0.07389812751346621
2024-10-08,Conservative,0.13880479673718019,0.127314210550449,0.0709835368960091,0.020319855245333186,0.5284356347869196,0.04134856952527764,0.07279340022394959
2024-10-15,Conservative,0.1060050827178917,0.10733569471285608,0.05947642829676416,0.03153392413314763,0.5820125547032782,0.05694952185254332,0.05668678942065448
2024-10-22,Conservative,0.11835508811969962,0.14422222145220975,0.05274878921103415,0.021022850591130408,0.5541908521038251,0.035074889681846695,0.07438530888412323
2024-10-29,Conservative,0.12802492254342177,0.15191550382715238,0.08173837551932364,0.017181791592360704,0.5187067702359504,0.04473740333668769,0.057695232062287
2022-12-27,Liberal,0.07362247537821526,0.081736858934164,0.03151191864162677,0.006788454833440425,0.7063955739140511,0.01675269915722305,0.0831920276395976
2023-01-03,Liberal,0.1326010579160376,0.11853973869208803,0.08328243924068819,0.013922879572045516,0.573851341239738,0.03700920428812806,0.04079333586978709
2023-01-10,Liberal,0.07930674102253221,0.09003188587067754,0.03761648107833663,0.01444627121364802,0.6938670320189831,0.04143871235953383,0.043292865960621325
2023-01-17,Liberal,0.05858751603158276,0.030474028028991202,0.10198018301300522,0.015708044398620325,0.7258163006266668,0.02500642909269243,0.04242748547611488
2023-01-24,Liberal,0.05908949536064429,0.10434186862160758,0.08133755809588664,0.007741913678021022,0.6826835895966118,0.01842626335564996,0.04637929588271715
2023-01-31,Liberal,0.11791424216626549,0.1879237666013365,0.08938077578976823,0.016617254449092563,0.5033157203294223,0.029470078606747652,0.055378161047642295
2023-02-07,Liberal,0.09771133834254683,0.10965585374894236,0.04700813612348775,0.017568967071215198,0.6594722592444332,0.019805869583419854,0.048777574346685316
2023-02-14,Liberal,0.055595369675671115,0.05931746744537581,0.045184899110540286,0.12145148333873737,0.6354699846058381,0.01886054862044606,0.06412025410594098
2023-02-21,Liberal,0.050736961449019374,0.06774443689245364,0.22609491096582351,0.028475615485548562,0.519738038027909,0.058586211199304274,0.04862382954622546
2023-02-28,Liberal,0.16562407431987725,0.14015412724735893,0.04385135547689545,0.038148528016058725,0.5505966368449352,0.02388976541881604,0.03773551363435501
2023-03-07,Liberal,0.09779991926754718,0.12423119039805083,0.05402897488966114,0.024476518586905263,0.5816008296581762,0.027306064924535606,0.0905565147210533
2023-03-14,Liberal,0.10088587428617753,0.12890506591198073,0.06255427462085865,0.07167865813641,0.5699431190203706,0.03276339598497456,0.0332696237244156
2023-03-21,Liberal,0.04797842693873318,0.04217292918250533,0.06267516232597135,0.010409011917475277,0.6871024150258074,0.052028722765568886,0.09763335038979461
2023-03-28,Liberal,0.07029677601789845,0.06914541685546277,0.03380455964814039,0.04800490424192195,0.6713255963993207,0.03306971227155166,0.07435303840773279
2023-04-04,Liberal,0.07200773520426905,0.18149018130498004,0.05033948017940429,0.0060627717704681006,0.6122236416611652,0.05564508871810337,0.022231117203111963
2023-04-11,Liberal,0.10946831143034307,0.14104678657410352,0.03222953091850888,0.014405053124695111,0.6200527533267935,0.01407035226293369,0.06872722786890027
2023-04-18,Liberal,0.11849039553531573,0.17116933315992353,0.13341941295324686,0.008521689659184071,0.4639869626345379,0.06297573194439918,0.041436476341914365
2023-04-25,Liberal,0.1710060658338277,0.20522035877017866,0.06258924329481286,0.02149207585329266,0.4367869708727559,0.0475620710867983,0.0553432112741891
2023-05-02,Liberal,0.07617433406385524,0.14838738721622108,0.05939224033330855,0.03012258653680594,0.5547792890439417,0.07052428540665392,0.060619889922320876
2023-05-09,Liberal,0.08678821388155664,0.0824592790280979,0.1019715752011628,0.02192240485074938,0.6391895686786983,0.025515794715401992,0.04215316444904698
2023-05-16,Liberal,0.12311018637140811,0.16895570345170624,0.05626977894983637,0.006948269582863613,0.557548283526067,0.04279653125003059,0.044371246695099884
2023-05-23,Liberal,0.1360708958818577,0.1969805580738466,0.08301979984389614,0.00914454315898178,0.5429266198188998,0.011617131553066375,0.02024045353027754
2023-05-30,Liberal,0.08623632195448158,0.12575107067176655,0.044963537012263785,0.010931700629289286,0.6219401260143116,0.04058341783127699,0.06959382892819116
2023-06-06,Liberal,0.17368940380919307,0.16800905095620283,0.0391324765902633,0.021231268879233083,0.5280480969283315,0.017807981661624336,0.0520817374448395
2023-06-13,Liberal,0.07972862869501109,0.13624632195569572,0.04710606927650843,0.0429895022451611,0.6065051955303975,0.013536426232063286,0.07388785213697698
